Roll No.,Section,Branch,Physics,Chemistry,Maths,Computer,DOB
1,A,CS,56,57,58,59,01-01-2001
2,A,ECE,23,24,25,26,02-01-2001
3,B,MECH,89,25,26,27,03-01-2001
4,C,MECH,45,26,27,28,04-01-2001
5,A,CS,23,27,28,29,05-01-2001
6,A,ECE,90,,29,30,06-01-2001
7,B,CS,12,13,14,15,07-01-2001
8,C,,78,14,15,16,08-01-2001
9,A,ECE,,15,16,17,09-01-2001
10,A,CS,45,16,17,18,10-01-2001
11,B,ECE,,17,18,19,11-01-2001
12,C,CS,88,,19,20,12-01-2001
13,A,CS,22,23,24,25,13-01-2001
14,A,CS,90,,,42,14-01-2001
15,B,ECE,,43,43,43,15-01-2001
16,C,,44,44,44,44,16-01-2001
17,A,MECH,45,45,45,45,17-01-2001
18,A,MECH,46,46,46,46,18-01-2001
19,B,ECE,47,47,47,47,19-01-2001
20,C,MECH,48,48,48,48,20-01-2001
21,A,MECH,49,49,49,49,21-01-2001
22,A,MECH,50,50,50,50,22-01-2001
23,B,ECE,51,51,51,51,23-01-2001
24,C,MECH,52,52,52,52,24-01-2001
25,A,MECH,53,,,53,25-01-2001
26,A,ECE,54,33,33,54,26-01-2001
27,B,CS,55,34,34,55,27-01-2001
28,C,CS,56,35,35,,28-01-2001
29,A,CS,57,36,36,66,29-01-2001
30,A,CS,58,37,37,43,30-01-2001
